 ACQUISITION_TIME_SCET  TEC_CURRENT
      672702856.777252     0.046357
      672702857.777283     0.047784
      672702858.777359     0.050637
      672702859.777344     0.048497
      672702860.777283     0.052777
      672702861.777237     0.047784
      672702862.777283     0.050637
      672702863.777237     0.048497
      672702864.777222     0.047071
      672702865.777313     0.047071
      672702866.777283     0.050637
      672702867.777267     0.048497
      672702868.777237     0.046357
      672702869.777283     0.047784
      672702870.777313     0.057057
      672702871.777267     0.048497
      672702872.777267     0.046357
      672702873.777206     0.047071
      672702874.777283     0.050637
      672702875.777206     0.048497
      672702876.777283     0.047071
      672702877.777145     0.047784
      672702878.777252     0.050637
      672702879.777176     0.048497
      672702880.777237     0.047071
      672702881.777176     0.047784
      672702882.777237     0.049924
      672702883.777176     0.048497
      672702884.777237     0.046357
      672702885.777130     0.047071
      672702886.777267     0.050637
      672702887.777206     0.048497
      672702888.777206     0.046357
      672702889.777237     0.047071
      672702890.777206     0.057057
      672702891.777161     0.054917
      672702892.777222     0.046357
      672702893.777176     0.047784
      672702894.777222     0.050637
      672702895.777145     0.048497
      672702896.777222     0.052777
      672702897.777115     0.047071
      672702898.777206     0.050637
      672702899.777130     0.048497
      672702900.777176     0.047071
      672702901.777130     0.047784
      672702902.777130     0.050637
      672702903.777115     0.048497
      672702904.777100     0.046357
      672702905.777130     0.053490
      672702906.777100     0.049924
      672702907.777145     0.056343
      672702908.777100     0.049210
      672702909.777145     0.047071
      672702910.777084     0.056343
      672702911.777100     0.049924
      672702912.777115     0.055630
      672702913.777100     0.047071
      672702914.776947     0.050637
      672702915.777084     0.049924
      672702916.777039     0.049210
      672702917.777115     0.047071
      672702918.777054     0.046357
      672702919.777115     0.049924
      672702920.777039     0.049210
      672702921.777100     0.047071
      672702922.776993     0.046357
      672702923.777084     0.049924
      672702924.776993     0.049210
      672702925.777100     0.047071
      672702926.777008     0.046357
      672702927.777023     0.049924
      672702928.777084     0.049210
      672702929.777054     0.053490
      672702930.776993     0.046357
      672702931.777069     0.049924
      672702932.776993     0.049210
