       ACQUISITION_TIME_UTC, ACQUISITION_TIME_SCET, LAST_EVENT, COMMANDED_TEST_MODE, COMMANDED_TEC_STATUS, COMMANDED_DETECTOR_STATUS, COMMANDED_TEC_TREF, COMMANDED_TEC_N_P, COMMANDED_TEC_N_I, COMMANDED_TEC_N_E, ANTI_WIND-UP_STATUS, ANTI_WIND-UP_METHOD, COMMANDED_TEC_N_SS, PE_ADDRESS, PE_ADDRESS_CONTENT, TEMPERATURE_FPA_1, TEMPERATURE_FPA_2, TEMPERATURE_PE, TEMPERATURE_FPA_PACKAGE, TEMPERATURE_STC_OPTICAL_BENCH, VOLTAGE_AT_3.3V, TEC_CURRENT
2020-12-14T21:45:49.053132Z,      672702347.779480,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.001421
2020-12-14T21:45:50.053102Z,      672702348.779449,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:51.053117Z,      672702349.779465,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:52.053117Z,      672702350.779465,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:53.053071Z,      672702351.779419,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:54.053025Z,      672702352.779373,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:55.053056Z,      672702353.779404,          0,                   0,                    0,                         1,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        270.160168,        270.456115,     271.412679,              269.396940,                    268.557394,        3.261484,    0.000707
2020-12-14T21:45:56.053056Z,      672702354.779404,          0,                   0,                    0,                         1,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        270.160168,        270.456115,     271.520793,              269.396940,                    268.557394,        3.261484,    0.001421
2020-12-14T21:45:57.053102Z,      672702355.779449,          0,                   0,                    0,                         1,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        270.071527,        270.456115,     271.412679,              269.396940,                    268.557394,        3.261484,    0.001421
2020-12-14T21:45:58.053025Z,      672702356.779373,          0,                   0,                    0,                         1,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        270.160168,        270.456115,     271.520793,              269.396940,                    268.557394,        3.261484,    0.000707
